period,index_orig,Datetime,G_Gh,HT,MT,CT,Tamb,Power,gas_price,electricity_price,dh_price,Dampfleistung in MW
9,6198,2019-03-06 13:30:00,75,852.8826286848,1024.9886548608,171.738446247578,2.81029433333333,544,20.46,92.13292784439093,80.0,1.913732707
9,6199,2019-03-06 13:45:00,60,846.948010608,954.1032293184,166.300332550208,2.81003466666667,568,20.46,90.9471224582822,80.0,2.066226217
9,6200,2019-03-06 14:00:00,63,808.5331943136,968.5624788672,162.749125532309,3.2073114,576,20.46,89.80008509559534,80.0,1.730663493
9,6201,2019-03-06 14:15:00,59,839.4605752512,1006.9149866496,163.489230577151,3.45897473333333,536,20.46,88.69672782667898,80.0,1.425080265
9,6202,2019-03-06 14:30:00,64,829.5370687296,977.933418672,184.864679849148,4.02696426666667,568,20.46,87.64177566634163,80.0,1.576427667
9,6203,2019-03-06 14:45:00,45,1009.4367439968,924.0679871136,218.799325382709,4.03401973333333,608,20.46,86.6397463394583,80.0,1.486977698
9,6204,2019-03-06 15:00:00,63,1003.1040118176,878.6682053856,238.387826104959,4.10876493333333,680,20.46,85.69493093427528,80.0,1.368739326
9,6205,2019-03-06 15:15:00,35,1048.3919757024,960.4607015808,246.020394953092,4.26661346666667,672,20.46,84.81137552626286,80.0,1.815071438
9,6206,2019-03-06 15:30:00,30,1014.8638299744,969.7725368352,243.605572501818,4.074107,624,20.46,83.99286385121054,80.0,1.65064246
9,6207,2019-03-06 15:45:00,31,1168.9029708384,995.2566786624,240.866649663448,3.89671353333333,584,20.46,83.24290110176491,80.0,1.303906255
9,6208,2019-03-06 16:00:00,31,1200.5344025472,1093.8934925856,243.148349861304,4.121393,496,20.46,82.5646989168001,80.0,1.127918399
9,6209,2019-03-06 16:15:00,18,1135.6865947392,1050.2454924864,238.820264561971,4.29008013333333,448,20.46,81.96116162790244,80.0,1.057212556
9,6210,2019-03-06 16:30:00,19,1007.316913008,986.3847381696,230.315313895543,4.11154493333333,400,20.46,81.43487382186703,80.0,1.844273865
9,6211,2019-03-06 16:45:00,12,994.5134366496,915.576357696,223.194742067655,3.9299456,424,20.46,80.98808927246878,80.0,1.433487179
9,6212,2019-03-06 17:00:00,7,1240.99837767364,933.3099143424,211.42432196935,3.72517733333333,376,20.46,80.62272128890645,80.0,1.516127369
9,6213,2019-03-06 17:15:00,2,1447.249905792002,891.9200301312,208.255720384916,3.47816793333333,352,20.46,80.34033452225135,80.0,1.763314437
9,6214,2019-03-06 17:30:00,0,1389.822482156744,935.1825736512,204.514253509045,3.2303054,408,20.46,80.14213826498903,80.0,1.652871372
9,6215,2019-03-06 17:45:00,0,1280.7575830816577,1080.8726051424,202.820188987255,2.98244293333333,416,20.46,80.02898127234768,80.0,1.512720971
9,6216,2019-03-06 18:00:00,0,1191.4187214048,1124.517963744,207.378558607896,2.7345804,408,20.46,80.00134812759056,80.0,1.819116965
9,6217,2019-03-06 18:15:00,0,1209.295391808,1206.7792486848,204.744663468997,2.48671793333333,384,20.46,80.05935716683767,80.0,1.715761955
9,6218,2019-03-06 18:30:00,0,1217.312597424,1187.4225792576,213.953883600235,2.2388554,400,20.46,80.20275997230341,80.0,1.271509344
9,6219,2019-03-06 18:45:00,0,1108.0605566688,1152.3575027328,225.770987308025,1.99099293333333,392,20.46,80.43094243612038,80.0,1.398696082
9,6220,2019-03-06 19:00:00,0,1143.47405256,1238.7739279776,226.403136344751,1.8151578,392,20.46,80.74292739019359,80.0,1.788095662
9,6221,2019-03-06 19:15:00,0,1164.575972784,1306.9797521088,219.715432492892,1.82813273333333,368,20.46,81.13737879082296,80.0,1.535260505
9,6222,2019-03-06 19:30:00,0,1076.3029434528,1220.7111278208,185.22977741162,1.85101526666667,368,20.46,81.61260744017416,80.0,1.260606451
9,6223,2019-03-06 19:45:00,0,1084.27633104,1159.5448510464,149.958266250292,1.87389773333333,344,20.46,82.16657822009563,80.0,1.465279071
9,6224,2019-03-06 20:00:00,0,1139.0310640128,1182.4444312128,132.726173659166,1.6746412,288,20.46,82.7969188073043,80.0,1.273287354
9,6225,2019-03-06 20:15:00,0,1067.519184816,1245.445265568,148.896818649769,1.13304526666667,248,20.46,83.5009298326177,80.0,1.4593036
9,6226,2019-03-06 20:30:00,0,1060.9680166176,1129.2416051616,199.331567883492,0.8233808,256,20.46,84.27559644072683,80.0,1.452087124
9,6227,2019-03-06 20:45:00,0,1027.0808959488,1143.6423813696,239.958630863825,0.6369286,344,20.46,85.117601201006,80.0,1.245422909
9,6228,2019-03-06 21:00:00,0,1027.8174050592,1199.6506153632,261.283897789319,0.596695666666667,408,20.46,86.02333831407073,80.0,0.980344488
9,6229,2019-03-06 21:15:00,0,1126.9966009344,1130.81350872,238.418206298351,0.556649066666667,400,20.46,86.98892905324524,80.0,1.535382287
9,6230,2019-03-06 21:30:00,0,1127.290890432,1043.5754756448,220.058967113495,0.516602533333333,384,20.46,88.01023837481338,80.0,0.898422491
9,6231,2019-03-06 21:45:00,0,1058.6105654208,1003.3460359104,220.350508844852,0.371129333333333,344,20.46,89.08289262592089,80.0,1.735923779
9,6232,2019-03-06 22:00:00,0,1068.9031504032,990.866288832,228.617805580298,0.0991663333333333,344,20.46,90.20229827429706,80.0,1.515788999
9,6233,2019-03-06 22:15:00,0,1097.832515472,1041.8149174944,228.317989329497,-0.151870266666667,360,20.46,91.36366157958756,80.0,1.471830569
9,6234,2019-03-06 22:30:00,0,1123.2989042688,1050.3334264416,215.221740571658,0.0613632,392,20.46,92.56200912205776,80.0,1.281049753
9,6235,2019-03-06 22:45:00,0,1134.6171111072,1000.140538992,195.131283752124,0.265498666666667,352,20.46,93.79220910075489,80.0,1.538505948
9,6236,2019-03-06 23:00:00,0,1129.6467896448,968.8264119744,183.077168798447,0.2719866,312,20.46,95.0489933099214,80.0,1.517872368
